Spanish,English
devolver,return
solitario,lonely
misiles,missiles
desnuda,naked
vaquero,cowboy
únicos,unique
trasera,rear
sano,healthy
piezas,pieces
liga,league
gerente,manager
caridad,charity
armados,armed
trajeron,They brought
religión,religion
fotografías,Photographs
sentirse,feel
rezar,pray
protege,protects
preparen,Prepare
niñera,baby sister
naranja,orange
matarnos,kill us
jugada,move
espérame,wait for me
enseñarte,teach you
cohete,rocket
tanques,Tanks
sombras,shades
moverse,move
llegara,reach
cortó,short
cierren,close
volverán,They will return
usamos,We use
sabremos,We will know
maletín,briefcase
lenguaje,language
invitación,invitation
cambian,They change
rehenes,hostages
encontremos,let's find
descubrí,I discovered
audiencia,audience
agenda,schedule
sígueme,Follow me
sensible,sensitive
reverendo,reverend
queréis,You want
cazar,hunt
bodas,wedding
seguiremos,will follow
rosas,Rosas
retiro,withdrawal
primeras,first
poderosa,powerful
deberia,should
cantando,singing
antiguos,ancient
teme,Fear
síganme,follow me
moviendo,moving
juventud,youth
equivocas,wrong
trabajadores,workers
seguí,I continued
salvaste,You saved
pulmones,lungs
payaso,clown
oírlo,hear it
fama,fame
engaño,cheated
distrito,district
disculparme,apologize
ciudadano,citizen
robando,stealing
equipaje,Baggage
ciencias,sciences
ubicación,Location
federales,Federal
tratamos,We treat
ofrece,offers
junio,june
extremadamente,extremely
actuando,acting
traducción,translation
supiste,You knew
sacarlo,remove it
preparando,preparing
letras,letters
típico,typical
reserva,booking
propuesta,proposal
plataforma,platform
mago,Wizard
linea,line
dude,hesitate
busque,I searched
tabaco,tobacco
principios,beginning
